plot.name,burn.year,previous.burn.year,CNFDB.id,ecoregion,moisture,slope,Dom,age,burn.depth,dom.prop
ZF020-597A,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,73,8.603597019,pima
ZF020-597B,2014,pre-1965,2014ZF-020,plains,subxeric,0,Pima,73,8.715573462,pima
ZF020-059A,2014,pre-1965,2014ZF-020,plains,xeric,0,Piba,74,4.69,other
ZF020-059B,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Pima,74,8.722699327,pima
ZF020-064A,2014,pre-1965,2014ZF-020,plains,subxeric,0,Pima,75,9.497515755,pima
ZF020-064B,2014,pre-1965,2014ZF-020,plains,xeric,5,Piba,75,5.34,piba
ZF020-064C,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,75,9.345617921,pima
ZF020-006A,2014,pre-1965,2014ZF-020,plains,xeric,0,Pima,110,6.179054692,pima
ZF020-006B,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Pima,110,6.040793245,pima
ZF020-006C,2014,pre-1965,2014ZF-020,plains,subhygric,0,Pima,110,6.27590027,pima
ZF020-008A,2014,pre-1965,2014ZF-020,plains,xeric,0,Piba,89,1.14,other
ZF020-008B,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Other,89,9.298498241,other
ZF020-008C,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,163,7.710438473,pima
ZF020-009A,2014,pre-1965,2014ZF-020,plains,mesic-subxeric,0,Pima,85,9.20958524,pima
ZF020-009B,2014,pre-1965,2014ZF-020,plains,mesic,0,Pima,85,9.64457332,pima
ZF020-009C,2014,pre-1965,2014ZF-020,plains,mesic-subhygric,0,Pima,85,6.798131098,pima
ZF026-104A,2014,pre-1965,2014ZF-026,shield,mesic-subhygric,0,Pima,78,10.95226801,pima
ZF026-104B,2014,pre-1965,2014ZF-026,shield,subxeric,0,Pima,123,14.10322987,pima
ZF026-104C,2014,pre-1965,2014ZF-026,shield,mesic,0,Pima,157,8.477850381,pima
ZF026-112A,2014,1976,1976ZF-082,shield,subxeric,0,Pima,59,4.256236937,pima
ZF026-112B,2014,1976,1976ZF-082,shield,subhygric,0,Pima,59,9.278506489,pima
ZF026-112C,2014,1976,1976ZF-082,shield,mesic-subhygric,0,Pima,59,13.21344805,pima
ZF026-113A,2014,1976,1976ZF-082,shield,subhygric,0,Pima,169,8.259458499,pima
ZF026-113B,2014,1976,1976ZF-082,shield,subxeric,0,Pima,38,5.787675035,other
ZF026-113C,2014,1976,1976ZF-082,shield,mesic-subxeric,5,Pima,30,5.891967101,other
ZF026-118A,2014,1976,1976ZF-082,shield,xeric,47,Pima,36,5.91706794,other
ZF026-118B,2014,1976,1976ZF-082,shield,mesic-subhygric,0,Pima,81,11.15510181,pima
